time,net.AccessPoint.application.delay:vector
9.532780498837,0.217226
9.574780470787,0.259226
9.624781439213,0.309227
9.664768853943,0.349214
9.708792263169,0.393238
9.754783758493,0.439229
9.801771393557,0.486217
9.848779006459,0.533224
9.889772911071,0.574218
9.947764972323,0.63221
9.987783614539,0.672229
10.028763994037,0.713209
10.226773750249,0.911219
29.491792263169,0.176238
29.543764972323,0.22821
29.602780498837,0.287226
29.647771393557,0.332217
29.690781439213,0.375227
29.736783758493,0.421229
29.789780470787,0.474226
29.853783614539,0.538229
29.936763994037,0.621209
30.006779006459,0.691224
30.055768853943,0.740214
30.105772911071,0.790218
30.187773750249,0.872219
49.623772911071,0.308218
49.693779006459,0.378224
49.737780470787,0.422226
49.782773750249,0.467219
49.842763994037,0.527209
49.907783758493,0.592229
49.947764972323,0.63221
49.991783614539,0.676229
50.043792263169,0.728238
50.104780498837,0.789226
50.161781439213,0.846227
50.216768853943,0.901214
50.266771393557,0.951217
69.559780498837,0.244226
69.618768853943,0.303214
69.659763994037,0.344209
69.721783614539,0.406229
69.773773750249,0.458219
69.827772911071,0.512218
69.867792263169,0.552238
69.958780470787,0.643226
70.008764972323,0.69321
70.067779006459,0.752224
70.115771393557,0.800217
70.227783758493,0.912229
70.375781439213,1.06023
89.484792263169,0.169238
89.539773750249,0.224219
89.581780470787,0.266226
89.633763994037,0.318209
89.681771393557,0.366217
89.730780498837,0.415226
89.781783614539,0.466229
89.847781439213,0.532227
89.964779006459,0.649224
90.010772911071,0.695218
90.190783758493,0.875229
109.488772911071,0.173218
109.553773750249,0.238219
109.604764972323,0.28921
109.648763994037,0.333209
109.709771393557,0.394217
109.783783758493,0.468229
109.927780498837,0.612226
109.986768853943,0.671214
110.044780470787,0.729226
110.090779006459,0.775224
110.146792263169,0.831238
110.190781439213,0.875227
110.326783614539,1.01123
129.478764972323,0.16321
129.523763994037,0.208209
129.567783614539,0.252229
129.616772911071,0.301218
129.678792263169,0.363238
129.722771393557,0.407217
129.777780470787,0.462226
129.827781439213,0.512227
129.889779006459,0.574224
129.942768853943,0.627214
130.012783758493,0.697229
130.153780498837,0.838226
130.283773750249,0.968219
149.643783614539,0.328229
149.692779006459,0.377224
149.774773750249,0.459219
149.817783758493,0.502229
149.863768853943,0.548214
149.926780498837,0.611226
149.986763994037,0.671209
150.033792263169,0.718238
150.086781439213,0.771227
150.129764972323,0.81421
150.186780470787,0.871226
150.276771393557,0.961217
150.449772911071,1.13422
169.459780470787,0.144226
169.499768853943,0.184214
169.567781439213,0.252227
169.609783614539,0.294229
169.665792263169,0.350238
169.712771393557,0.397217
169.765780498837,0.450226
169.898773750249,0.583219
169.984763994037,0.669209
170.087779006459,0.772224
170.135764972323,0.82021
189.523771393557,0.208217
189.585792263169,0.270238
189.632768853943,0.317214
189.709783758493,0.394229
189.751772911071,0.436218
189.791779006459,0.476224
189.875780470787,0.560226
189.933764972323,0.61821
189.982781439213,0.667227
190.080773750249,0.765219
190.169763994037,0.854209
190.219780498837,0.904226
190.297783614539,0.982229
209.554771393557,0.239217
209.661763994037,0.346209
209.703781439213,0.388227
209.745783614539,0.430229
209.790773750249,0.475219
209.882792263169,0.567238
209.977772911071,0.662218
210.017780470787,0.702226
210.091783758493,0.776229
210.135764972323,0.82021
210.230768853943,0.915214
210.332779006459,1.01722
210.379780498837,1.06423
229.661768853943,0.346214
229.712781439213,0.397227
229.757763994037,0.442209
229.802792263169,0.487238
229.849780470787,0.534226
229.889780498837,0.574226
229.940764972323,0.62521
229.994779006459,0.679224
230.051783614539,0.736229
230.138772911071,0.823218
230.222771393557,0.907217
230.274783758493,0.959229
230.348773750249,1.03322
249.506779006459,0.191224
249.558780498837,0.243226
249.612781439213,0.297227
249.659780470787,0.344226
249.711773750249,0.396219
249.754768853943,0.439214
249.809783614539,0.494229
249.895763994037,0.580209
249.941771393557,0.626217
250.037764972323,0.72221
250.122783758493,0.807229
250.191772911071,0.876218
250.278792263169,0.963238
269.585768853943,0.270214
269.708781439213,0.393227
269.768771393557,0.453217
269.820763994037,0.505209
269.870773750249,0.555219
269.920764972323,0.60521
269.971772911071,0.656218
270.087780470787,0.772226
270.169779006459,0.854224
270.241792263169,0.926238
270.317780498837,1.00223
289.577783614539,0.262229
289.644768853943,0.329214
289.706763994037,0.391209
289.748792263169,0.433238
289.801783758493,0.486229
289.850771393557,0.535217
289.944772911071,0.629218
290.019780470787,0.704226
290.069764972323,0.75421
290.114780498837,0.799226
290.196779006459,0.881224
290.272781439213,0.957227
290.495773750249,1.18022
309.471768853943,0.156214
309.533780470787,0.218226
309.588783758493,0.273229
309.629763994037,0.314209
309.691772911071,0.376218
309.736764972323,0.42121
309.780792263169,0.465238
309.821779006459,0.506224
309.870771393557,0.555217
309.928781439213,0.613227
309.998773750249,0.683219
310.038783614539,0.723229
310.113780498837,0.798226
329.614779006459,0.299224
329.666780498837,0.351226
329.718783758493,0.403229
329.784763994037,0.469209
329.838783614539,0.523229
329.898792263169,0.583238
329.952780470787,0.637226
329.995781439213,0.680227
330.052768853943,0.737214
330.095773750249,0.780219
330.170764972323,0.85521
330.265772911071,0.950218
330.328771393557,1.01322
349.429768853943,0.114214
349.496783758493,0.181229
349.544781439213,0.229227
349.603763994037,0.288209
349.648792263169,0.333238
349.693783614539,0.378229
349.756764972323,0.44121
349.796771393557,0.481217
349.879780498837,0.564226
349.926780470787,0.611226
349.998773750249,0.683219
350.065772911071,0.750218
350.117779006459,0.802224
369.543768853943,0.228214
369.668764972323,0.35321
369.712772911071,0.397218
369.753780498837,0.438226
369.837783758493,0.522229
369.917783614539,0.602229
369.968781439213,0.653227
370.062763994037,0.747209
370.110792263169,0.795238
370.154773750249,0.839219
370.196780470787,0.881226
370.366779006459,1.05122
370.574771393557,1.25922
389.604780498837,0.289226
389.660763994037,0.345209
389.745783758493,0.430229
389.786792263169,0.471238
389.837768853943,0.522214
389.894781439213,0.579227
389.962764972323,0.64721
390.005783614539,0.690229
390.055779006459,0.740224
390.095780470787,0.780226
390.165772911071,0.850218
390.235773750249,0.920219
390.445771393557,1.13022
409.634781439213,0.319227
409.689783614539,0.374229
409.736772911071,0.421218
409.780764972323,0.46521
409.844771393557,0.529217
409.887780470787,0.572226
409.938763994037,0.623209
409.992792263169,0.677238
410.057780498837,0.742226
410.098773750249,0.783219
410.169768853943,0.854214
410.226779006459,0.911224
410.452783758493,1.13723
429.486783758493,0.171229
429.533771393557,0.218217
429.573781439213,0.258227
429.618773750249,0.303219
429.691768853943,0.376214
429.735763994037,0.420209
429.814780498837,0.499226
429.892772911071,0.577218
429.944779006459,0.629224
429.987780470787,0.672226
430.162764972323,0.84721
430.215783614539,0.900229
430.255792263169,0.940238
449.426763994037,0.111209
449.484780498837,0.169226
449.534783614539,0.219229
449.575773750249,0.260219
449.622768853943,0.307214
449.669781439213,0.354227
449.735783758493,0.420229
449.795792263169,0.480238
449.868780470787,0.553226
449.954779006459,0.639224
449.997771393557,0.682217
450.054764972323,0.73921
450.135772911071,0.820218
469.430779006459,0.115224
469.494772911071,0.179218
469.535780498837,0.220226
469.579781439213,0.264227
469.621792263169,0.306238
469.666780470787,0.351226
469.736771393557,0.421217
469.781763994037,0.466209
469.870773750249,0.555219
469.928783758493,0.613229
470.003768853943,0.688214
470.050783614539,0.735229
470.272764972323,0.95721
489.482764972323,0.16721
489.602780470787,0.287226
489.642792263169,0.327238
489.699763994037,0.384209
489.779783758493,0.464229
489.832783614539,0.517229
489.876781439213,0.561227
489.952779006459,0.637224
490.025768853943,0.710214
490.102771393557,0.787217
490.258773750249,0.943219
509.649768853943,0.334214
509.700783614539,0.385229
509.804792263169,0.489238
509.844773750249,0.529219
509.893763994037,0.578209
509.952764972323,0.63721
510.017779006459,0.702224
510.091772911071,0.776218
510.152780470787,0.837226
