time,net.AccessPoint.application.delay:vector
10.245103620464,0.12822
10.325108783336,0.208225
10.365113919864,0.24823
10.405115210518,0.288231
10.445118484904,0.328234
10.485108566094,0.368224
10.526108395022,0.409224
10.567110775706,0.450227
10.689105697706,0.572222
10.729107392364,0.612223
10.780100445428,0.663216
10.822089510354,0.705205
10.871100377254,0.754216
30.244119887772,0.127236
30.324103620464,0.20722
30.444100322508,0.327216
30.52411872507,0.407235
30.574118484904,0.457234
30.622110074344,0.505226
30.675112412116,0.558228
50.444103620464,0.32722
50.485108783336,0.368225
50.525110074344,0.408226
50.611101049944,0.494217
50.651119887772,0.534236
50.692089510354,0.575205
50.741111515958,0.624227
50.794108395022,0.677224
70.241089510354,0.124205
70.321118484904,0.204234
70.361119887772,0.244236
70.441100445428,0.324216
70.485108783336,0.368225
70.526112412116,0.409228
70.610110074344,0.493226
70.65011872507,0.533235
70.691103620464,0.57422
70.734115210518,0.617231
70.776105697706,0.659222
70.821110775706,0.704227
70.861106357076,0.744222
70.901100377254,0.784216
70.964107392364,0.847223
90.485100377254,0.368216
90.527108566094,0.410224
90.567118484904,0.450234
90.611108395022,0.494224
90.651111515958,0.534227
110.283100445428,0.166216
110.363111515958,0.246227
110.403101049944,0.286217
110.443119887772,0.326236
110.483089510354,0.366205
110.564108395022,0.447224
110.604118484904,0.487234
110.644100377254,0.527216
110.685113919864,0.56823
110.770103620464,0.65322
130.367110074344,0.250226
130.448089510354,0.331205
130.492118484904,0.375234
130.576105697706,0.459222
130.61711872507,0.500235
130.665100322508,0.548216
130.714090384254,0.597206
130.759100377254,0.642216
130.812115210518,0.695231
150.242108395022,0.125224
150.282105697706,0.165222
150.362100322508,0.245216
150.444089510354,0.327205
150.524100377254,0.407216
150.568110775706,0.451227
150.610118484904,0.493234
150.656108783336,0.539225
150.697113919864,0.58023
150.738112412116,0.621228
150.781110074344,0.664226
150.828115210518,0.711231
170.204108783336,0.0872247
170.284100445428,0.167216
170.365103620464,0.24822
170.527108566094,0.410224
170.568090384254,0.451206
170.611113919864,0.49423
170.652110074344,0.535226
170.693100377254,0.576216
170.740110775706,0.623227
190.321111515958,0.204227
190.621100377254,0.504216
210.287118484904,0.170234
210.369111515958,0.252227
210.450119887772,0.333236
210.49111872507,0.374235
210.531105697706,0.414222
210.572108566094,0.455224
210.612115210518,0.495231
210.653089510354,0.536205
210.693106357076,0.576222
210.738100445428,0.621216
230.244090384254,0.127206
230.364108566094,0.247224
230.404112412116,0.287228
230.444111515958,0.327227
230.484119887772,0.367236
230.564103620464,0.44722
230.645089510354,0.528205
230.689100445428,0.572216
230.729100377254,0.612216
230.772108395022,0.655224
230.817106357076,0.700222
250.244089510354,0.127205
250.405106357076,0.288222
250.445105697706,0.328222
250.525113919864,0.40823
250.567090384254,0.450206
250.607119887772,0.490236
250.647110074344,0.530226
250.690101049944,0.573217
250.737112412116,0.620228
250.778115210518,0.661231
250.822118484904,0.705234
270.248105697706,0.131222
270.369100445428,0.252216
270.409118484904,0.292234
270.450090384254,0.333206
270.490108566094,0.373224
270.530112412116,0.413228
270.572103620464,0.45522
270.612100322508,0.495216
270.653115210518,0.536231
270.738106357076,0.621222
290.285115210518,0.168231
290.325089510354,0.208205
290.365101049944,0.248217
290.48711872507,0.370235
290.527100322508,0.410216
290.567108783336,0.450225
290.608107392364,0.491223
290.651100445428,0.534216
290.697105697706,0.580222
290.738108783336,0.621225
290.788110074344,0.671226
290.832111515958,0.715227
310.287110074344,0.170226
310.407111515958,0.290227
310.449110775706,0.332227
310.569113919864,0.45223
310.609118484904,0.492234
310.649107392364,0.532223
310.690112412116,0.573228
310.731108783336,0.614225
330.247113919864,0.13023
330.287118484904,0.170234
330.32711872507,0.210235
330.369115210518,0.252231
330.409100322508,0.292216
330.450106357076,0.333222
330.490089510354,0.373205
330.532100377254,0.415216
330.612108783336,0.495225
330.736103620464,0.61922
330.778108783336,0.661225
330.818105697706,0.701222
330.859119887772,0.742236
350.284107392364,0.167223
350.324110775706,0.207227
350.404105697706,0.287222
350.444108783336,0.327225
350.484111515958,0.367227
350.525112412116,0.408228
350.566115210518,0.449231
350.646100377254,0.529216
350.727100322508,0.610216
350.771108783336,0.654225
350.818110074344,0.701226
350.865119887772,0.748236
370.404107392364,0.287223
370.445111515958,0.328227
370.486110074344,0.369226
370.526100322508,0.409216
370.569112412116,0.452228
370.610113919864,0.49323
370.650106357076,0.533222
370.693119887772,0.576236
370.73411872507,0.617235
390.281100445428,0.164216
390.321119887772,0.204236
390.361101049944,0.244217
390.443118484904,0.326234
390.52311872507,0.406235
390.564106357076,0.447222
390.604090384254,0.487206
390.644108395022,0.527224
390.687112412116,0.570228
390.792110074344,0.675226
