time,net.AccessPoint.application.delay:vector
10.184774596779,1.16723
10.587762643621,1.57022
10.629776531271,1.61223
10.750754976277,1.73321
10.834764950289,1.81722
10.875766833377,1.85822
10.915761695333,1.89822
10.960759867595,1.94321
11.004757985493,1.98721
11.048754515833,2.03121
30.343774542853,1.32623
30.383756991045,1.36621
30.423779957053,1.40623
30.503771506943,1.48623
30.623754515833,1.60621
30.663783245409,1.64624
30.783783245409,1.76624
30.863772577053,1.84623
30.906761695333,1.88922
30.992778434747,1.97523
31.041752807235,2.02421
31.095758098039,2.07821
31.135765214141,2.11822
50.143775466879,1.12623
50.183772577053,1.16623
50.383775653091,1.36623
50.423764950289,1.40622
50.505779957053,1.48823
50.546754976277,1.52921
50.587770343195,1.57022
50.667765214141,1.65022
50.708752807235,1.69121
50.792749955961,1.7752
50.835771481077,1.81823
50.877772577053,1.86023
50.938773109635,1.92123
70.266763662711,1.24922
70.386774687073,1.36923
70.507776531271,1.49023
70.547768327337,1.53022
70.587780318747,1.57023
70.627762255377,1.61022
70.709764927175,1.69222
70.750756946677,1.73321
70.872767923253,1.85522
70.912784898969,1.89524
70.952757985493,1.93521
70.997774748391,1.98023
71.045773109635,2.02823
71.099764999317,2.08222
71.169764295219,2.15222
90.346774687073,1.32923
90.631750401565,1.6142
90.713775513541,1.69623
90.760754976277,1.74321
90.803774596779,1.78623
90.848763893311,1.83122
90.893762887887,1.87622
90.943757985493,1.92621
90.987755601829,1.97021
109.946781442575,0.929236
110.026749955961,1.0092
110.187772628721,1.17023
110.387767923253,1.37022
110.467752807235,1.45021
110.587752807235,1.57021
110.628768571713,1.61122
110.670772577053,1.65323
110.710762039105,1.69322
110.750768398477,1.73322
110.830774005793,1.81323
110.883774596779,1.86623
130.344764950289,1.32722
130.505755601829,1.48821
130.587774910639,1.57023
130.629778434747,1.61223
130.749777365821,1.73223
130.790780078581,1.77323
130.881755539933,1.86421
130.924764999317,1.90722
149.825769109861,0.808223
150.025780078581,1.00823
150.185758098039,1.16821
150.265774548635,1.24823
150.345769988699,1.32822
150.385767355657,1.36822
150.425775653091,1.40823
150.466778307097,1.44923
150.506767762571,1.48922
150.586774748391,1.56923
150.746762375797,1.72922
150.884756867363,1.86721
150.936767860625,1.91922
170.180768327337,1.16322
170.341769346155,1.32422
170.624756991045,1.60721
170.665778434747,1.64823
170.705756441375,1.68821
170.745759538213,1.72821
170.788784898969,1.77124
170.829767860625,1.81222
170.869779916449,1.85223
170.910768398477,1.89322
170.955754976277,1.93821
170.995772957073,1.97823
171.036772421453,2.01923
190.264769988699,1.24722
190.345756946677,1.32821
190.467777365821,1.45023
190.549772906029,1.53223
190.589780078581,1.57223
190.629757985493,1.61221
190.673764950289,1.65622
190.726771481077,1.70923
210.022780318747,1.00523
210.344769169159,1.32722
210.424764950289,1.40722
210.545764295219,1.52822
210.627772421453,1.61023
210.668755539933,1.65121
210.709778434747,1.69223
210.750767860625,1.73322
210.790775053055,1.77323
210.834762056103,1.81722
210.879767923253,1.86222
210.920767355657,1.90322
210.965774564049,1.94823
230.143759867595,1.12621
230.304776350391,1.28723
230.424755539933,1.40721
230.545754976277,1.52821
230.669761916185,1.65222
230.754770377013,1.73722
230.799767860625,1.78222
230.867766791247,1.85022
250.102749413615,1.0852
250.142750270005,1.1252
250.222764518077,1.20522
250.262784898969,1.24524
250.422768110085,1.40522
