time,net.AccessPoint.application.delay:vector
10.591567644641,1.33021
10.837581240077,1.57622
10.958577882505,1.69722
11.000568208297,1.73921
11.041561688261,1.7802
11.082569238263,1.82121
30.271576561675,1.01022
30.672567644641,1.41121
30.712587409097,1.45123
30.792576561675,1.53122
30.872562938369,1.6112
30.912574724467,1.65122
30.992577882505,1.73122
31.073587039133,1.81223
31.115574670009,1.85422
31.157561688261,1.8962
31.204581240077,1.94322
31.246592625417,1.98523
50.224570022597,0.963212
50.504587579003,1.24323
50.544581066841,1.28322
50.584584149441,1.32323
50.624595802525,1.36324
50.747587579003,1.48623
50.872569238263,1.61121
50.916575044161,1.65522
50.957597567333,1.69624
50.998579501741,1.73722
51.043592746945,1.78223
51.105574792289,1.84422
70.469570653857,1.20821
70.589569659409,1.32821
70.669576331075,1.40822
70.709572504547,1.44821
70.870585451495,1.60923
70.993579260997,1.73222
71.035581714017,1.77422
71.083589141869,1.82223
71.125588135243,1.86423
71.168584175307,1.90723
71.211570766403,1.95021
90.427581066841,1.16622
90.467581249797,1.20622
90.627576331075,1.36622
90.667581057041,1.40622
90.828588135243,1.56723
90.868574977369,1.60722
90.954592625417,1.69323
90.997580215705,1.73622
91.041595765369,1.78024
91.088591103111,1.82723
91.137575311985,1.87622
110.108564863531,0.847207
110.548575044161,1.28722
110.588568622927,1.32721
110.629575044161,1.36822
110.669594266183,1.40824
110.791589990255,1.53023
110.831568208297,1.57021
110.911567692415,1.65021
110.953575044161,1.69222
110.993581249797,1.73222
111.033567644641,1.77221
111.073572633683,1.81221
111.114582828135,1.85322
111.157576888703,1.89622
111.238577882505,1.97722
111.278587162981,2.01723
111.327570022597,2.06621
111.379567644641,2.11821
130.388581249797,1.12722
130.749568208297,1.48821
130.873581837523,1.61222
130.997570766403,1.73621
131.037565475599,1.77621
131.088590165613,1.82723
131.137594266183,1.87624
150.465572633683,1.20421
150.505567692415,1.24421
150.546581837523,1.28522
150.667586674157,1.40623
150.707581249797,1.44622
150.747577882505,1.48622
150.787590165613,1.52623
150.827580215705,1.56622
150.908588181905,1.64723
150.950579260997,1.68922
150.995590034185,1.73423
151.038581714017,1.77722
151.126588960647,1.86523
170.347590165613,1.08623
170.387587579003,1.12623
170.547591103111,1.28623
170.708572633683,1.44721
170.830587721419,1.56923
170.871570766403,1.61021
170.951568270193,1.69021
170.991574792289,1.73022
171.080585245417,1.81923
171.124585625437,1.86323
171.182586674157,1.92123
190.628567644641,1.36721
190.709575556251,1.44822
190.829590034185,1.56823
190.872587355437,1.61123
190.912584095471,1.65123
190.955579501741,1.69422
191.043567692415,1.78221
191.085592584813,1.82423
210.510574977369,1.24922
210.550581057041,1.28922
210.590591247181,1.32923
210.630591373781,1.36923
210.751583011559,1.49022
210.831577882505,1.57022
210.871570653857,1.61021
210.912572504547,1.65121
210.993587272839,1.73223
211.034587087575,1.77323
211.075592625417,1.81423
211.128570022597,1.86721
230.344563772395,1.08321
230.424572504547,1.16321
230.585574670009,1.32422
230.625569615041,1.36421
230.665564646295,1.40421
230.706585625437,1.44523
230.746580778449,1.48522
230.786592625417,1.52523
230.907577400853,1.64622
230.987591373781,1.72623
231.027574792289,1.76622
231.067590034185,1.80623
231.109580215705,1.84822
231.150587265143,1.88923
231.190586674157,1.92923
231.232592584813,1.97123
231.280579194371,2.01922
250.227585245417,0.966227
250.589574792289,1.32822
250.670589006053,1.40923
250.750585089817,1.48923
250.791589517219,1.53023
250.831588181905,1.57023
250.873570653857,1.61221
250.954587265143,1.69323
250.994586625005,1.73323
251.034587272839,1.77323
251.075570766403,1.81421
251.115568208297,1.85421
251.201568270193,1.94021
251.248582014519,1.98722
270.431590165613,1.17023
270.471574724467,1.21022
270.552581066841,1.29122
270.632583011559,1.37122
270.679587039133,1.41823
270.726589064075,1.46523
290.347577882505,1.08622
290.507581714017,1.24622
290.667584121391,1.40623
290.747581005527,1.48622
290.788588960647,1.52723
290.868587355437,1.60723
290.909579303525,1.64822
290.959574707469,1.69822
291.009574639295,1.74822
291.059585625437,1.79823
291.121589006053,1.86023
310.471590932801,1.21023
310.794575044161,1.53322
310.834582828135,1.57322
310.876581005527,1.61522
310.917579501741,1.65622
310.957580430935,1.69622
311.037579303525,1.77622
311.083574977369,1.82222
330.468583045377,1.20722
330.631579501741,1.37022
330.671570766403,1.41021
330.755582828135,1.49422
330.795589018755,1.53423
330.835568208297,1.57421
330.959569238263,1.69821
331.008581066841,1.74722
350.348580024021,1.08722
350.549580619117,1.28822
350.669562938369,1.4082
350.709581249797,1.44822
350.749563069929,1.4882
350.871582599771,1.61022
350.911567692415,1.65021
350.951586625005,1.69023
351.034580215705,1.77322
370.390583011559,1.12922
370.470576561675,1.20922
370.510577400853,1.24922
370.590569238263,1.32921
370.630577400853,1.36922
370.710590034185,1.44923
370.750582828135,1.48922
370.876581837523,1.61522
370.916575556251,1.65522
370.957574977369,1.69622
371.001572206577,1.74021
371.042586821099,1.78123
371.100582657063,1.83922
390.424581249797,1.16322
390.624590034185,1.36323
390.745580591617,1.48422
390.785583180187,1.52422
390.866574707469,1.60522
390.950579303525,1.68922
390.990574977369,1.72922
391.030588960647,1.76923
391.076572504547,1.81521
391.117579260997,1.85622
391.162586674157,1.90123
391.208589018755,1.94723
410.466572633683,1.20521
410.626587416755,1.36523
410.667585245417,1.40623
410.749579260997,1.48822
410.831588181905,1.57023
410.913576963583,1.65222
410.996577186441,1.73522
411.037562938369,1.7762
411.082574707469,1.82122
411.122579237035,1.86122
411.164567184197,1.90321
411.224592625417,1.96323
411.265574707469,2.00422
430.188585625437,0.927227
430.348587579003,1.08723
430.548574977369,1.28722
430.748572504547,1.48721
430.790581891943,1.52922
430.830590932801,1.56923
430.872590034185,1.61123
430.953577618653,1.69222
430.993580215705,1.73222
450.469572633683,1.20821
450.509587579003,1.24823
450.753568270193,1.49221
450.799576561675,1.53822
450.879591373781,1.61823
450.927574977369,1.66622
450.969587162981,1.70823
451.014590034185,1.75323
470.145574977369,0.884217
470.385577882505,1.12422
470.466577186441,1.20522
470.626576331075,1.36522
470.666576561675,1.40522
470.706562938369,1.4452
470.787574923741,1.52622
470.828590034185,1.56723
470.870576331075,1.60922
470.910572504547,1.64921
470.951561688261,1.6902
471.033587409097,1.77223
471.079589006053,1.81823
471.126584149441,1.86523
471.177574977369,1.91622
471.221582828135,1.96022
490.184581066841,0.923223
490.264587232413,1.00323
490.707576888703,1.44622
490.787575044161,1.52622
490.828589018755,1.56723
490.869582014519,1.60822
490.950575044161,1.68922
490.992581714017,1.73122
491.036591103111,1.77523
491.088586821099,1.82723
510.349584121391,1.08823
510.669580024021,1.40822
510.750590975461,1.48923
510.791577882505,1.53022
510.832584149441,1.57123
510.872587579003,1.61123
510.913587531377,1.65223
510.955569238263,1.69421
511.044567644641,1.78321
511.084585777999,1.82323
530.031562624325,0.770204
530.431576963583,1.17022
530.632572633683,1.37121
530.712589006053,1.45123
530.752585089817,1.49123
530.796584310679,1.53523
530.876579501741,1.61522
530.916577327697,1.65522
530.958576561675,1.69722
531.040569659409,1.77921
531.084570766403,1.82321
531.131588181905,1.87023
531.175574792289,1.91422
550.508581249797,1.24722
550.589594110939,1.32824
550.750569615041,1.48921
550.790589517219,1.52923
550.872585625437,1.61123
550.999581240077,1.73822
551.040579303525,1.77922
551.082585625437,1.82123
551.133587531377,1.87223
570.269581778225,1.00822
570.589584149441,1.32823
570.630572504547,1.36921
570.711593107373,1.45023
570.751597673587,1.49024
570.791594149813,1.53024
570.831574639295,1.57022
570.871588135243,1.61023
570.911588181905,1.65023
570.951582599771,1.69022
570.994574792289,1.73322
571.076585777999,1.81523
571.129585574393,1.86823
571.169568208297,1.90821
590.309587409097,1.04823
590.429587272839,1.16823
590.509582014519,1.24822
590.589576561675,1.32822
590.631577327697,1.37022
590.712585625437,1.45123
590.833581891943,1.57222
590.874581714017,1.61322
590.919574792289,1.65822
590.960579237035,1.69922
591.006567692415,1.74521
610.425576963583,1.16422
610.545587216999,1.28423
610.625579237035,1.36422
610.705581249797,1.44422
610.826581057041,1.56522
610.867577186441,1.60622
610.911590165613,1.65023
610.951587531377,1.69023
611.032587579003,1.77123
611.116577186441,1.85522
630.186585089817,0.925227
630.626584310679,1.36523
630.710575556251,1.44922
630.887576561675,1.62622
630.927574724467,1.66622
630.987575311985,1.72622
650.345577186441,1.08422
650.466581891943,1.20522
650.506575229777,1.24522
650.626585245417,1.36523
650.666576561675,1.40522
650.746576561675,1.48522
650.786587087575,1.52523
650.826574724467,1.56522
650.866582828135,1.60522
650.947580215705,1.68622
651.036590034185,1.77523
651.081569615041,1.82021
651.145582014519,1.88422
670.632581714017,1.37122
670.718587265143,1.45723
670.759591373781,1.49823
670.800564646295,1.53921
670.842579260997,1.58122
670.882587265143,1.62123
670.922577618653,1.66122
670.966576331075,1.70522
671.016579303525,1.75522
690.229591373781,0.968233
690.589585625437,1.32823
690.790581778225,1.52922
690.832001645205,1.57064
690.917574792289,1.65622
691.000587721419,1.73923
710.352575044161,1.09122
710.553564863531,1.29221
710.593581249797,1.33222
710.755590034185,1.49423
710.795581714017,1.53422
710.876587531377,1.61523
710.997574670009,1.73622
711.041579501741,1.78022
711.085591373781,1.82423
711.126581837523,1.86522
711.213589141869,1.95223
730.752583045377,1.49122
730.792588181905,1.53123
730.837589006053,1.57623
730.878574639295,1.61722
730.920587039133,1.65923
730.960587355437,1.69923
731.008576561675,1.74722
731.053594149813,1.79224
731.101574792289,1.84022
750.427586674157,1.16623
750.507563772395,1.24621
750.547575229777,1.28622
750.668580430935,1.40722
750.749589199635,1.48823
750.789587087575,1.52823
750.834590165613,1.57323
750.914581891943,1.65322
750.964582599771,1.70322
770.510570766403,1.24921
770.630570653857,1.36921
770.670568270193,1.40921
770.750572535959,1.48921
770.790574977369,1.52922
770.830563772395,1.56921
770.990585625437,1.72923
771.041586674157,1.78023
771.084585777999,1.82323
771.141572633683,1.88021
790.469591373781,1.20823
790.590562938369,1.3292
790.631570766403,1.37021
790.671581837523,1.41022
790.712587579003,1.45123
790.752576561675,1.49122
790.834581066841,1.57322
790.876592987111,1.61523
790.916587211217,1.65523
791.040580215705,1.77922
791.082574584549,1.82122
791.124587265143,1.86323
810.349568208297,1.08821
810.589568208297,1.32821
810.630574923741,1.36922
810.751582657063,1.49022
810.793591103111,1.53223
810.834572633683,1.57321
810.915589472559,1.65423
810.958576561675,1.69722
810.999576561675,1.73822
811.045574707469,1.78422
811.094570022597,1.83321
830.504584310679,1.24323
830.584588321455,1.32323
830.624591247181,1.36323
830.664569615041,1.40321
830.704593107373,1.44323
830.785587162981,1.52423
830.907562938369,1.6462
830.991574977369,1.73022
831.056583180187,1.79522
850.426592584813,1.16523
850.627562938369,1.3662
850.667562081979,1.4062
850.747579501741,1.48622
850.911579303525,1.65022
850.951583045377,1.69022
850.992574977369,1.73122
851.032581837523,1.77122
851.073590975461,1.81223
851.113574792289,1.85222
851.158585625437,1.89723
851.198572535959,1.93721
851.238575044161,1.97722
851.280563772395,2.01921
851.320581066841,2.05922
851.360587272839,2.09923
870.226577327697,0.965219
870.306587416755,1.04523
870.506574724467,1.24522
870.546585625437,1.28523
870.628592625417,1.36723
870.709586674157,1.44823
870.749591103111,1.48823
870.830581249797,1.56922
870.870576253547,1.60922
870.957597567333,1.69624
871.037588135243,1.77623
871.078589006053,1.81723
871.124570022597,1.86321
871.164589006053,1.90323
871.215568208297,1.95421
890.349588960647,1.08823
890.389597673587,1.12824
890.549576963583,1.28822
890.790574707469,1.52922
890.831588960647,1.57023
890.874564646295,1.61321
890.917575044161,1.65622
890.957587272839,1.69623
891.007577186441,1.74622
891.048585451495,1.78723
891.090584175307,1.82923
891.141576331075,1.88022
910.265569659409,1.00421
910.305592987111,1.04423
910.345574724467,1.08422
910.5459874242,1.28463
910.626592584813,1.36523
910.710585777999,1.44923
910.830587355437,1.56923
910.872590165613,1.61123
910.912594266183,1.65124
910.953574977369,1.69222
911.076564863531,1.81521
911.127577327697,1.86622
930.550581891943,1.28922
