time,net.AccessPoint.application.delay:vector
11.429157464769,1.36823
11.469162938875,1.40823
11.551139806971,1.49021
11.632150215951,1.57122
11.673143114849,1.61221
11.716161295041,1.65523
11.799165957299,1.73824
11.843147592783,1.78222
11.890142696477,1.82921
11.936145115671,1.87522
31.108137884345,1.04721
31.508144861939,1.44722
31.628138032089,1.56721
31.674146523005,1.61322
31.715151905947,1.65422
31.755143114849,1.69421
31.796159210685,1.73523
31.837157913349,1.77623
31.879154341371,1.81823
31.922153010971,1.86122
31.963157608685,1.90223
32.008149693671,1.94722
51.187164458113,1.12624
51.307149693671,1.24622
51.467138400227,1.40621
51.629150970379,1.56822
51.669151441727,1.60822
51.710146753605,1.64922
51.752151905947,1.69122
51.795155817367,1.73423
51.839156816935,1.77823
51.890152791701,1.82922
51.947155281747,1.88623
71.267152791701,1.20622
71.430155281747,1.36923
71.471150783547,1.41022
71.514151248971,1.45322
71.599159152577,1.53823
71.643152029453,1.58222
71.684159210685,1.62323
71.742140214527,1.68121
71.794164341743,1.73324
91.230151248971,1.16922
91.390151905947,1.32922
91.430153237307,1.36922
91.510164458113,1.44924
91.550150215951,1.48922
91.672150783547,1.61122
91.795164341743,1.73424
91.838157601027,1.77723
91.878153020065,1.81722
91.921157913349,1.86023
91.963158327173,1.90223
92.014161565711,1.95323
92.054161167391,1.99323
92.094135055461,2.03321
92.144159333799,2.08323
111.190135055461,1.12921
111.391159152577,1.33023
111.431166105703,1.37024
111.512157913349,1.45123
111.552142398507,1.49121
111.592155437347,1.53123
111.632138814857,1.57121
111.712153067751,1.65122
111.796149693671,1.73522
111.836140845787,1.77521
111.876151258771,1.81522
111.956147592783,1.89522
111.996155766323,1.93523
130.988154502609,0.927226
131.068139806971,1.00721
131.189161295041,1.12823
131.349155643425,1.28823
131.390153020065,1.32922
131.471139806971,1.41021
131.511158513385,1.45023
131.551137376127,1.49021
131.673154367237,1.61223
131.713142696477,1.65221
131.753140845787,1.69221
131.795144861939,1.73422
131.837137376127,1.77621
131.883159152577,1.82223
131.927144984219,1.86622
131.981159391565,1.92023
150.945150720919,0.884222
151.065149693671,1.00422
151.347152206449,1.28622
151.509167759263,1.44824
151.590157770933,1.52923
151.631157279505,1.57023
151.673159152577,1.61223
151.753153203489,1.69222
151.793147378371,1.73222
151.837159152577,1.77623
151.877145169299,1.81622
151.928150215951,1.86722
151.972146753605,1.91122
171.108161439111,1.04723
171.188157464769,1.12723
171.228157608685,1.16723
171.389147155513,1.32822
171.429151258771,1.36822
171.469149428965,1.40822
171.509147378371,1.44822
171.589158513385,1.52823
171.629135667529,1.56821
171.709149651541,1.64822
171.749152083873,1.68822
171.790154341371,1.72923
171.831135055461,1.77021
171.917149693671,1.85622
171.957151248971,1.89622
191.469142398507,1.40821
191.592161167391,1.53123
191.673160357543,1.61223
191.716150720919,1.65522
191.758154341371,1.69723
191.799149495455,1.73822
191.839157770933,1.77823
191.879152083873,1.81822
191.924152083873,1.86322
191.964163299303,1.90323
192.032144555627,1.97122
211.467157770933,1.40623
211.790147155513,1.72922
211.871137376127,1.81021
211.911153203489,1.85022
211.954152206449,1.89322
211.996149428965,1.93522
212.037150407635,1.97622
231.306159197983,1.24523
231.346159210685,1.28523
231.386164458113,1.32524
231.467164458113,1.40624
231.507153203489,1.44622
231.548137836571,1.48721
231.588150783547,1.52722
231.671157601027,1.61023
231.713158513385,1.65223
231.793135055461,1.73221
231.841155969929,1.78023
231.887149452927,1.82622
251.269140214527,1.20821
251.429154528315,1.36823
251.469145748181,1.40822
251.591158373835,1.53023
251.636145236091,1.57522
251.676151432007,1.61522
251.716144916397,1.65522
251.757148074435,1.69622
251.799157770933,1.73823
251.857155766323,1.79623
271.105153372117,1.04422
271.466145421707,1.40522
271.506157913349,1.44523
271.547138462123,1.48621
271.712551906584,1.65162
271.754150970379,1.69322
271.796139727657,1.73521
271.841163179041,1.78023
291.145151248971,1.08422
291.345144984219,1.28422
291.506167759263,1.44524
291.626139851339,1.56521
291.706147810583,1.64522
291.746149651541,1.68522
291.787161439111,1.72623
291.827164302869,1.76624
310.991153067751,0.930225
311.272159210685,1.21123
311.392153372117,1.33122
311.432134838225,1.37121
311.472153147023,1.41122
311.592145115671,1.53122
311.632157608685,1.57123
311.672147155513,1.61122
311.712154367237,1.65123
311.752159391565,1.69123
311.793151432007,1.73222
311.833160226115,1.77223
311.878149693671,1.81722
311.920157457073,1.85923
311.967160226115,1.90623
312.012139430193,1.95121
331.185144916397,1.12422
331.385154528315,1.32423
331.467155281747,1.40623
331.507155437347,1.44623
331.627142398507,1.56621
331.667152848993,1.60622
331.707158513385,1.64623
331.750147519627,1.68922
331.790149651541,1.72922
331.880151846335,1.81922
331.922153067751,1.86122
351.224159842747,1.16323
351.304145421707,1.24322
351.424147859611,1.36322
351.464154528315,1.40323
351.504154367237,1.44323
351.545142297749,1.48421
351.625145115671,1.56422
351.665155817367,1.60423
351.709157457073,1.64823
351.749150407635,1.68822
351.790154341371,1.72923
351.830157601027,1.76923
351.870163179041,1.80923
351.910149452927,1.84922
351.952149452927,1.89122
351.998164341743,1.93724
352.038164458113,1.97724
352.086144916397,2.02522
370.750150970379,0.689222
370.950147155513,0.889219
371.310155281747,1.24923
371.430142398507,1.36921
371.592145115671,1.53122
371.636164302869,1.57524
371.676150407635,1.61522
371.719144642257,1.65822
371.761161167391,1.70023
371.802162817347,1.74123
371.883157608685,1.82223
371.927146445477,1.86622
371.988139301669,1.92721
391.188155643425,1.12723
391.309157279505,1.24823
391.349151248971,1.28822
391.469164302869,1.40824
391.509165994455,1.44824
391.549159197983,1.48823
391.630158373835,1.56923
391.670166105703,1.60924
391.793153203489,1.73222
391.833144831225,1.77222
391.874153372117,1.81322
391.914153147023,1.85322
391.957150811047,1.89622
391.999132816255,1.9382
411.388161167391,1.32723
411.508149693671,1.44722
411.589157013029,1.52823
411.672157403147,1.61123
411.753153010971,1.69222
411.889133964325,1.82821
431.029138462123,0.96821
431.230157601027,1.16923
431.310149693671,1.24922
431.350150622865,1.28922
431.470139301669,1.40921
431.510155437347,1.44923
431.550139727657,1.48921
431.754146445477,1.69322
431.795153203489,1.73422
431.835144916397,1.77422
431.918142696477,1.85721
431.959153237307,1.89822
432.003144642257,1.94222
432.052157608685,1.99123
451.147144984219,1.08622
451.267133964325,1.20621
451.590152083873,1.52922
451.631161295041,1.57023
451.712150622865,1.65122
451.792151905947,1.73122
451.833144984219,1.77222
451.874164458113,1.81324
451.914152848993,1.85322
451.954157913349,1.89323
451.998161167391,1.93723
452.039164341743,1.97824
452.080151248971,2.01922
452.140159709149,2.07923
471.069155281747,1.00823
471.433153067751,1.37222
471.474135055461,1.41321
471.557144555627,1.49622
471.598151258771,1.53722
471.743139851339,1.68221
491.067159152577,1.00623
491.309138032089,1.24821
491.389133261859,1.3282
491.429151248971,1.36822
491.552142398507,1.49121
491.633147859611,1.57222
491.673144861939,1.61222
491.716164458113,1.65524
491.757151441727,1.69622
491.798155229677,1.73723
491.920153067751,1.85922
491.966164302869,1.90524
492.026145169299,1.96522
511.268152206449,1.20722
511.428145236091,1.36722
511.469133964325,1.40821
511.591153010971,1.53022
511.637145421707,1.57622
511.678139806971,1.61721
511.807143114849,1.74621
530.948162938875,0.887234
531.190158513385,1.12923
531.310144984219,1.24922
531.351155643425,1.29023
531.472152848993,1.41122
531.513143114849,1.45221
531.636145236091,1.57522
531.681164458113,1.62024
531.724153203489,1.66322
531.774157913349,1.71323
531.820146523005,1.75922
551.109159197983,1.04823
551.350150970379,1.28922
551.471137376127,1.41021
551.551153203489,1.49022
551.591145748181,1.53022
551.634165994455,1.57324
551.678157547367,1.61723
