time,net.AccessPoint.application.delay:vector
10.968932071937,0.271219
11.009934619961,0.312222
11.049930965931,0.352218
11.131935644333,0.434223
11.171936241779,0.474223
11.251939978649,0.554227
11.293937415815,0.596225
11.453941225355,0.756228
11.494945507367,0.797233
11.537929716241,0.840217
11.580945651437,0.883233
11.623934428277,0.926222
11.667941669399,0.970229
11.789929448417,1.09222
11.831927327175,1.13421
11.875922612553,1.17821
11.915924019297,1.21821
11.956937415815,1.25922
11.998936118273,1.30122
12.038941821011,1.34123
12.078934619961,1.38122
12.122943546125,1.42523
12.203938714935,1.50623
12.243929381625,1.54622
12.283933905997,1.58622
12.323950206781,1.62624
12.364938714935,1.66723
12.487941615473,1.79023
12.612926610833,1.91521
12.707945379717,2.01023
12.747938579563,2.05023
12.787932071937,2.09022
12.832939649673,2.13523
12.872934933245,2.17522
12.912935182705,2.21522
12.956935644333,2.25922
13.040942125675,2.34323
13.087950206781,2.39024
13.128941615473,2.43123
13.217923027183,2.52021
13.263922048897,2.56621
13.306936296199,2.60922
13.348931367839,2.65122
13.443943546125,2.74623
13.508929327997,2.81122
13.557939855751,2.86023
13.602939649673,2.90523
13.692944394511,2.99523
13.739931805109,3.04222
13.816919050551,3.11921
13.927930735331,3.23022
13.969929716241,3.27222
14.024945778037,3.32723
14.070929196545,3.37322
14.122941491831,3.42523
14.166921429543,3.46921
14.212948670439,3.51524
14.312937415815,3.61522
14.371936058661,3.67422
14.413938553697,3.71623
14.453937004027,3.75622
14.652940182255,3.95523
14.692939649673,3.99523
30.793941615473,0.0962289
30.833941821011,0.136229
30.874935023373,0.177222
30.914939978649,0.217227
30.954941225355,0.257228
30.998922612553,0.30121
31.041930965931,0.344218
31.082932071937,0.385219
31.123934428277,0.426222
31.164941491831,0.467229
31.370929196545,0.673216
31.453933863867,0.756221
31.536935644333,0.839223
31.576935182705,0.879222
31.616941669399,0.919229
31.656919267787,0.959207
31.701929448417,1.00422
31.743926610833,1.04621
31.868947029673,1.17123
31.909945651437,1.21223
31.953948515195,1.25624
32.075939649673,1.37823
32.115941669399,1.41823
32.155940182255,1.45823
32.277937415815,1.58022
32.319934619961,1.62222
32.361945507367,1.66423
32.401929716241,1.70422
32.443938553697,1.74623
32.533929448417,1.83622
32.573927327175,1.87621
32.717941615473,2.02023
32.758919050551,2.06121
32.841932022909,2.14422
32.890931367839,2.19322
32.949950206781,2.25224
32.991943546125,2.29423
33.034936418775,2.33722
33.075927327175,2.37821
33.124929448417,2.42722
33.168937415815,2.47122
33.214936241779,2.51722
33.255929716241,2.55822
33.298945778037,2.60123
33.346922048897,2.64921
33.391933905997,2.69422
33.472938714935,2.77523
33.537936058661,2.84022
33.581931590697,2.88422
33.622943546125,2.92523
33.665929960507,2.96822
33.705931805109,3.00822
33.747941677095,3.05023
33.793937061319,3.09622
33.840929327997,3.14322
33.912924019297,3.21521
33.969934933245,3.27222
34.010942125675,3.31323
34.069934619961,3.37222
34.144936241779,3.44722
34.190939649673,3.49323
34.241932071937,3.54422
34.388939649673,3.69123
50.830934619961,0.133222
50.870940182255,0.173227
50.910941491831,0.213229
50.950926610833,0.253214
50.992931367839,0.295219
51.032939649673,0.335227
51.075937061319,0.378224
51.155938579563,0.458226
51.195927327175,0.498215
51.236935023373,0.539222
51.276918176651,0.579205
51.317930965931,0.620218
51.357930965931,0.660218
51.443941669399,0.746229
51.483936296199,0.786224
51.650948670439,0.953236
51.691931805109,0.994219
51.733929716241,1.03622
51.774929327997,1.07722
51.816937415815,1.11922
51.858929448417,1.16122
51.940941225355,1.24323
51.981951971589,1.28424
52.022924063665,1.32521
52.062939494073,1.36523
52.102950206781,1.40524
52.182948515195,1.48524
52.223945507367,1.52623
52.269922612553,1.57221
52.351937415815,1.65422
